genome_id	genus	species	source_type
LABG_000208	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000209	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000210	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000211	Weissella	Weissella confusa	human
LABG_000212	Ligilactobacillus	Ligilactobacillus ruminis	human
LABG_000213	Lactobacillus	Lactobacillus acidophilus	other
LABG_000214	Lactobacillus	Lactobacillus helveticus	food
LABG_000215	Lactobacillus	Lactobacillus helveticus	food
LABG_000216	Lacticaseibacillus	Lacticaseibacillus paracasei	food
LABG_000217	Lactobacillus	Lactobacillus helveticus	food
LABG_000218	Lactobacillus	Lactobacillus helveticus	food
LABG_000219	Lactobacillus	Lactobacillus helveticus	food
LABG_000220	Lactobacillus	Lactobacillus helveticus	food
LABG_000221	Lactobacillus	Lactobacillus helveticus	food
LABG_000222	Lactobacillus	Lactobacillus helveticus	food
LABG_000223	Lactobacillus	Lactobacillus helveticus	food
LABG_000224	Lactobacillus	Lactobacillus helveticus	food
LABG_000225	Lactobacillus	Lactobacillus helveticus	food
LABG_000226	Lactobacillus	Lactobacillus helveticus	food
LABG_000227	Limosilactobacillus	Limosilactobacillus mucosae	human
LABG_000228	Ligilactobacillus		human
LABG_000229	Ligilactobacillus		human
LABG_000230	Limosilactobacillus	Limosilactobacillus fermentum	human
LABG_000231	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000232	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000233	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000234	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000235	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000236	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000237	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000238	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000239	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000240	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000241	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000242	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000243	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000244	Lactobacillus	Lactobacillus panisapium	animal
LABG_000245	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000246	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000247	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000248	Lactobacillus	Lactobacillus panisapium	animal
LABG_000249	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000250	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000251	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000252	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000253	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000254	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000255	Lactobacillus	Lactobacillus rizhaonensis	animal
LABG_000256	Lactobacillus	Lactobacillus panisapium	animal
LABG_000257	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000258	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000259	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000260	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000261	Lactobacillus	Lactobacillus panisapium	animal
LABG_000262	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000263	Lactobacillus	Lactobacillus panisapium	animal
LABG_000264	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000265	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000266	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000267	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000268	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000269	Lactobacillus	Lactobacillus panisapium	animal
LABG_000270	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000271	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000272	Lactobacillus	Lactobacillus panisapium	animal
LABG_000273	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000274	Lactobacillus	Lactobacillus panisapium	animal
LABG_000275	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000276	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000277	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000278	Lactobacillus	Lactobacillus panisapium	animal
LABG_000279	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000280	Ligilactobacillus	Ligilactobacillus animalis	animal
LABG_000281	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000282	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000283	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000284	Lactobacillus	Lactobacillus rizhaonensis	animal
LABG_000285	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000286	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000287	Lactobacillus	Lactobacillus panisapium	animal
LABG_000288	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000289	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000290	Lactobacillus	Lactobacillus panisapium	animal
LABG_000291	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000292	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000293	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000294	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000295	Bombilactobacillus	Bombilactobacillus mellifer	animal
LABG_000296	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
LABG_000297	Lactobacillus	Lactobacillus panisapium	animal
LABG_000298	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000299	Bombilactobacillus	Bombilactobacillus mellis_A	animal
LABG_000300	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal
