genus	species	eligible_source_count	total_MQ_genomes	total_ARG_positive	minimum_source_n	maximum_source_n	minimum_ARG_positive_rate	maximum_ARG_positive_rate	max_rate_difference	highest_rate_source	lowest_rate_source	p_value	fdr	minus_log10_fdr	significant
Ligilactobacillus	Ligilactobacillus murinus	4	1180	17	6	792	0	0.024	0.024	animal	human/food	0.23193756147353503	0.6480608335289949	0.18838422495361937	FALSE
Companilactobacillus	Companilactobacillus farciminis	2	14	3	5	9	0	0.3333333333333333	0.3333333333333333	animal	food	0.25824175824175816	0.6814713064713063	0.16655242552779695	FALSE
Lactobacillus	Lactobacillus sp948500755	3	86	1	22	34	0	0.045454545454545456	0.045454545454545456	animal	food/other	0.25581395348837455	0.6814713064713063	0.16655242552779695	FALSE
Lactobacillus	Lactobacillus helveticus	3	360	5	35	214	0	0.02336448598130841	0.02336448598130841	food	human/other	0.27666655036796167	0.7103600617555773	0.1485214636803976	FALSE
Limosilactobacillus	Limosilactobacillus rodentium	3	295	1	8	199	0	0.011363636363636364	0.011363636363636364	animal	food/other	0.3254237288135511	0.8135593220338777	0.08961077426656797	FALSE
Ligilactobacillus	Ligilactobacillus aviarius_C	2	77	11	11	66	0	0.16666666666666666	0.16666666666666666	animal	other	0.34798454260495315	0.8476546550633474	0.0717810486257475	FALSE
Lacticaseibacillus	Lacticaseibacillus rhamnosus	4	1384	8	14	1006	0	0.013157894736842105	0.013157894736842105	food	animal	0.37224429320576224	0.8840801963636853	0.05350833763570637	FALSE
Lactobacillus	Lactobacillus iners	2	231	108	12	219	0.3333333333333333	0.4748858447488584	0.1415525114155251	human	other	0.38756685830105075	0.898020769234142	0.04671361894575297	FALSE
Lactobacillus	Lactobacillus gallinarum	3	95	59	7	81	0.5714285714285714	0.8571428571428571	0.2857142857142857	human	other	0.46095846767026327	1	-0	FALSE
Lactobacillus	Lactobacillus sp027681045	2	12	2	5	7	0	0.2857142857142857	0.2857142857142857	animal	human	0.46969696969696983	1	-0	FALSE
Limosilactobacillus	Limosilactobacillus oris_A	3	106	19	5	95	0	0.2	0.2	food	human	0.678757809121253	1	-0	FALSE
Limosilactobacillus	Limosilactobacillus pulli	3	43	3	7	29	0	0.14285714285714285	0.14285714285714285	other	food	0.7039137833238774	1	-0	FALSE
Lactobacillus	Lactobacillus absianus	2	16	4	6	10	0.16666666666666666	0.3	0.13333333333333333	animal	other	1	1	-0	FALSE
Limosilactobacillus	Limosilactobacillus reuteri_E	4	268	93	11	172	0.3372093023255814	0.45454545454545453	0.11733615221987315	food	animal	0.8656699242037609	1	-0	FALSE
Lactobacillus	Lactobacillus johnsonii	4	174	72	5	125	0.3333333333333333	0.44	0.10666666666666669	animal	human	0.7066612734641355	1	-0	FALSE
Ligilactobacillus	Ligilactobacillus animalis	3	105	50	11	72	0.45454545454545453	0.5454545454545454	0.09090909090909088	food	animal	0.9079183299254211	1	-0	FALSE
Fructilactobacillus	Fructilactobacillus sanfranciscensis	3	80	4	5	65	0	0.06153846153846154	0.06153846153846154	food	human/other	0.9999999999999706	1	-0	FALSE
Levilactobacillus	Levilactobacillus brevis	4	343	12	17	238	0	0.058823529411764705	0.058823529411764705	animal	other	0.5467427416338825	1	-0	FALSE
Weissella	Weissella thailandensis	2	68	3	13	55	0	0.05454545454545454	0.05454545454545454	animal	food	1	1	-0	FALSE
Ligilactobacillus	Ligilactobacillus saerimneri	2	17	4	5	12	0.2	0.25	0.04999999999999999	animal	other	1	1	-0	FALSE
Limosilactobacillus	Limosilactobacillus sp011958095	3	132	3	10	78	0	0.045454545454545456	0.045454545454545456	animal	human	0.4442748091602747	1	-0	FALSE
Limosilactobacillus	Limosilactobacillus intestinavium	2	33	1	9	24	0	0.041666666666666664	0.041666666666666664	animal	human	1	1	-0	FALSE
Leuconostoc	Leuconostoc lactis	3	109	2	6	54	0	0.02040816326530612	0.02040816326530612	human	other	1	1	-0	FALSE
Lentilactobacillus	Lentilactobacillus hilgardii	3	121	2	8	103	0	0.019417475728155338	0.019417475728155338	food	human/other	0.9999999999999345	1	-0	FALSE
Lactobacillus	Lactobacillus mulieris	2	84	1	5	79	0	0.012658227848101266	0.012658227848101266	human	other	1	1	-0	FALSE
Leuconostoc	Leuconostoc pseudomesenteroides	2	114	1	6	108	0	0.009259259259259259	0.009259259259259259	food	other	0.9999999999999999	1	-0	FALSE
Lactobacillus	Lactobacillus gasseri	2	346	3	21	325	0	0.009230769230769232	0.009230769230769232	human	other	1	1	-0	FALSE
Lactiplantibacillus	Lactiplantibacillus pentosus	3	193	1	12	142	0	0.007042253521126761	0.007042253521126761	food	human/other	0.9999999999999379	1	-0	FALSE
Apilactobacillus	Apilactobacillus kunkeei	2	70	0	10	60	0	0	0	animal/food	animal/food	1	1	-0	FALSE
Companilactobacillus	Companilactobacillus sp022484265	2	22	0	8	14	0	0	0	food/other	food/other	1	1	-0	FALSE
Fructilactobacillus	Fructilactobacillus fructivorans	2	12	0	5	7	0	0	0	food/other	food/other	1	1	-0	FALSE
Lacticaseibacillus	Lacticaseibacillus casei	2	44	0	14	30	0	0	0	human/food	human/food	1	1	-0	FALSE
Lacticaseibacillus	Lacticaseibacillus suilingensis	2	16	0	8	8	0	0	0	human/other	human/other	1	1	-0	FALSE
Lacticaseibacillus	Lacticaseibacillus zeae	2	15	0	7	8	0	0	0	human/food	human/food	1	1	-0	FALSE
Lactiplantibacillus	Lactiplantibacillus paraplantarum	2	34	0	6	28	0	0	0	food/other	food/other	1	1	-0	FALSE
Lactobacillus	Lactobacillus acetotolerans	2	36	0	17	19	0	0	0	food/other	food/other	1	1	-0	FALSE
Lactobacillus	Lactobacillus amylolyticus	2	13	0	6	7	0	0	0	human/food	human/food	1	1	-0	FALSE
Lactobacillus	Lactobacillus delbrueckii_B	2	19	0	8	11	0	0	0	animal/human	animal/human	1	1	-0	FALSE
Lactobacillus	Lactobacillus hominis	3	24	0	6	10	0	0	0	human/food/other	human/food/other	1	1	-0	FALSE
Lactobacillus	Lactobacillus kefiranofaciens	2	62	0	6	56	0	0	0	food/other	food/other	1	1	-0	FALSE
Lactobacillus	Lactobacillus sp910589175	2	14	0	5	9	0	0	0	animal/food	animal/food	1	1	-0	FALSE
Lactobacillus	Lactobacillus taiwanensis	3	77	0	15	41	0	0	0	animal/food/other	animal/food/other	1	1	-0	FALSE
Lentilactobacillus	Lentilactobacillus buchneri	4	83	0	5	59	0	0	0	animal/human/food/other	animal/human/food/other	1	1	-0	FALSE
Lentilactobacillus	Lentilactobacillus kefiri	2	55	0	7	48	0	0	0	food/other	food/other	1	1	-0	FALSE
Lentilactobacillus	Lentilactobacillus parabuchneri	3	145	0	5	108	0	0	0	human/food/other	human/food/other	1	1	-0	FALSE
Lentilactobacillus	Lentilactobacillus parafarraginis	2	23	0	10	13	0	0	0	human/food	human/food	1	1	-0	FALSE
Leuconostoc	Leuconostoc carnosum	2	37	0	5	32	0	0	0	food/other	food/other	1	1	-0	FALSE
Leuconostoc	Leuconostoc falkenbergense	2	168	0	13	155	0	0	0	food/other	food/other	1	1	-0	FALSE
Leuconostoc	Leuconostoc gasicomitatum	2	44	0	8	36	0	0	0	food/other	food/other	1	1	-0	FALSE
Ligilactobacillus	Ligilactobacillus acidipiscis	2	19	0	5	14	0	0	0	food/other	food/other	1	1	-0	FALSE
Limosilactobacillus	Limosilactobacillus oris	2	58	0	6	52	0	0	0	human/other	human/other	1	1	-0	FALSE
Limosilactobacillus	Limosilactobacillus reuteri_G	3	37	0	8	16	0	0	0	animal/food/other	animal/food/other	1	1	-0	FALSE
Limosilactobacillus	Limosilactobacillus timonensis	2	14	0	6	8	0	0	0	animal/food	animal/food	1	1	-0	FALSE
Limosilactobacillus	Limosilactobacillus urinaemulieris	2	11	0	5	6	0	0	0	food/other	food/other	1	1	-0	FALSE
Liquorilactobacillus	Liquorilactobacillus satsumensis	2	237	0	7	230	0	0	0	food/other	food/other	1	1	-0	FALSE
Pediococcus	Pediococcus parvulus	2	36	0	11	25	0	0	0	food/other	food/other	1	1	-0	FALSE
Schleiferilactobacillus	Schleiferilactobacillus harbinensis	3	56	0	5	40	0	0	0	human/food/other	human/food/other	1	1	-0	FALSE
Weissella	Weissella confusa	4	209	0	18	83	0	0	0	animal/human/food/other	animal/human/food/other	1	1	-0	FALSE
Weissella	Weissella koreensis	2	13	0	6	7	0	0	0	human/food	human/food	1	1	-0	FALSE
Weissella	Weissella sagaensis	2	20	0	6	14	0	0	0	food/other	food/other	1	1	-0	FALSE
Weissella	Weissella soli	3	51	0	5	28	0	0	0	animal/human/food	animal/human/food	1	1	-0	FALSE
Weissella	Weissella viridescens	2	21	0	9	12	0	0	0	human/food	human/food	1	1	-0	FALSE
