genus	species	source_type	ARG_negative_n	ARG_positive_n	source_n	ARG_positive_rate	fdr	significant	max_rate_difference
Lactobacillus	Lactobacillus delbrueckii	food	368	1	369	0.0027100271002710027	0.3811914435050509	FALSE	0.023809523809523808
Lactobacillus	Lactobacillus delbrueckii	other	560	3	563	0.0053285968028419185	0.3811914435050509	FALSE	0.023809523809523808
Lactobacillus	Lactobacillus delbrueckii_B	animal	11	0	11	0	1	FALSE	0
Lactobacillus	Lactobacillus delbrueckii_B	human	8	0	8	0	1	FALSE	0
Lactobacillus	Lactobacillus gallinarum	animal	32	49	81	0.6049382716049383	1	FALSE	0.2857142857142857
Lactobacillus	Lactobacillus gallinarum	human	1	6	7	0.8571428571428571	1	FALSE	0.2857142857142857
Lactobacillus	Lactobacillus gallinarum	other	3	4	7	0.5714285714285714	1	FALSE	0.2857142857142857
Lactobacillus	Lactobacillus gasseri	human	322	3	325	0.009230769230769232	1	FALSE	0.009230769230769232
Lactobacillus	Lactobacillus gasseri	other	21	0	21	0	1	FALSE	0.009230769230769232
Lactobacillus	Lactobacillus helveticus	human	35	0	35	0	0.7103600617555773	FALSE	0.02336448598130841
Lactobacillus	Lactobacillus helveticus	food	209	5	214	0.02336448598130841	0.7103600617555773	FALSE	0.02336448598130841
Lactobacillus	Lactobacillus helveticus	other	111	0	111	0	0.7103600617555773	FALSE	0.02336448598130841
Lactobacillus	Lactobacillus hominis	human	6	0	6	0	1	FALSE	0
Lactobacillus	Lactobacillus hominis	food	10	0	10	0	1	FALSE	0
Lactobacillus	Lactobacillus hominis	other	8	0	8	0	1	FALSE	0
Lactobacillus	Lactobacillus iners	human	115	104	219	0.4748858447488584	0.898020769234142	FALSE	0.1415525114155251
Lactobacillus	Lactobacillus iners	other	8	4	12	0.3333333333333333	0.898020769234142	FALSE	0.1415525114155251
Lactobacillus	Lactobacillus johnsonii	animal	70	55	125	0.44	1	FALSE	0.10666666666666669
Lactobacillus	Lactobacillus johnsonii	human	26	13	39	0.3333333333333333	1	FALSE	0.10666666666666669
Lactobacillus	Lactobacillus johnsonii	food	3	2	5	0.4	1	FALSE	0.10666666666666669
Lactobacillus	Lactobacillus johnsonii	other	3	2	5	0.4	1	FALSE	0.10666666666666669
Lactobacillus	Lactobacillus kefiranofaciens	food	56	0	56	0	1	FALSE	0
Lactobacillus	Lactobacillus kefiranofaciens	other	6	0	6	0	1	FALSE	0
Lactobacillus	Lactobacillus mulieris	human	78	1	79	0.012658227848101266	1	FALSE	0.012658227848101266
Lactobacillus	Lactobacillus mulieris	other	5	0	5	0	1	FALSE	0.012658227848101266
Lactobacillus	Lactobacillus paragasseri	human	407	3	410	0.007317073170731708	0.21885768073204726	FALSE	0.06666666666666667
Lactobacillus	Lactobacillus paragasseri	food	9	0	9	0	0.21885768073204726	FALSE	0.06666666666666667
Lactobacillus	Lactobacillus paragasseri	other	28	2	30	0.06666666666666667	0.21885768073204726	FALSE	0.06666666666666667
Lactobacillus	Lactobacillus sp027681045	animal	5	2	7	0.2857142857142857	1	FALSE	0.2857142857142857
Lactobacillus	Lactobacillus sp027681045	human	5	0	5	0	1	FALSE	0.2857142857142857
Lactobacillus	Lactobacillus sp910589175	animal	5	0	5	0	1	FALSE	0
Lactobacillus	Lactobacillus sp910589175	food	9	0	9	0	1	FALSE	0
Lactobacillus	Lactobacillus sp910589675	animal	225	65	290	0.22413793103448276	9.050195503905976e-24	TRUE	0.3181818181818182
Lactobacillus	Lactobacillus sp910589675	human	20	10	30	0.3333333333333333	9.050195503905976e-24	TRUE	0.3181818181818182
Lactobacillus	Lactobacillus sp910589675	food	9	2	11	0.18181818181818182	9.050195503905976e-24	TRUE	0.3181818181818182
Lactobacillus	Lactobacillus sp910589675	other	520	8	528	0.015151515151515152	9.050195503905976e-24	TRUE	0.3181818181818182
Lactobacillus	Lactobacillus sp945980025	animal	19	72	91	0.7912087912087912	0.0014337869285934546	TRUE	0.44338270425226944
Lactobacillus	Lactobacillus sp945980025	human	2	4	6	0.6666666666666666	0.0014337869285934546	TRUE	0.44338270425226944
Lactobacillus	Lactobacillus sp945980025	other	15	8	23	0.34782608695652173	0.0014337869285934546	TRUE	0.44338270425226944
Lactobacillus	Lactobacillus sp948500755	animal	21	1	22	0.045454545454545456	0.6814713064713063	FALSE	0.045454545454545456
Lactobacillus	Lactobacillus sp948500755	food	30	0	30	0	0.6814713064713063	FALSE	0.045454545454545456
Lactobacillus	Lactobacillus sp948500755	other	34	0	34	0	0.6814713064713063	FALSE	0.045454545454545456
Lactobacillus	Lactobacillus sp948948975	animal	9	0	9	0	0.4382440476190459	FALSE	0.2857142857142857
Lactobacillus	Lactobacillus sp948948975	food	5	2	7	0.2857142857142857	0.4382440476190459	FALSE	0.2857142857142857
Lactobacillus	Lactobacillus sp948948975	other	5	0	5	0	0.4382440476190459	FALSE	0.2857142857142857
Lactobacillus	Lactobacillus taiwanensis	animal	41	0	41	0	1	FALSE	0
Lactobacillus	Lactobacillus taiwanensis	food	21	0	21	0	1	FALSE	0
Lactobacillus	Lactobacillus taiwanensis	other	15	0	15	0	1	FALSE	0
Lapidilactobacillus	Lapidilactobacillus dextrinicus	animal	4	2	6	0.3333333333333333	0.08741258741258738	FALSE	0.3333333333333333
Lapidilactobacillus	Lapidilactobacillus dextrinicus	human	33	0	33	0	0.08741258741258738	FALSE	0.3333333333333333
Latilactobacillus	Latilactobacillus curvatus	animal	4	3	7	0.42857142857142855	0.01083247515290868	TRUE	0.42857142857142855
Latilactobacillus	Latilactobacillus curvatus	human	24	0	24	0	0.01083247515290868	TRUE	0.42857142857142855
Latilactobacillus	Latilactobacillus curvatus	food	138	3	141	0.02127659574468085	0.01083247515290868	TRUE	0.42857142857142855
Latilactobacillus	Latilactobacillus curvatus	other	27	1	28	0.03571428571428571	0.01083247515290868	TRUE	0.42857142857142855
Latilactobacillus	Latilactobacillus sakei	animal	4	1	5	0.2	0.08741258741258738	FALSE	0.2
Latilactobacillus	Latilactobacillus sakei	human	55	0	55	0	0.08741258741258738	FALSE	0.2
Latilactobacillus	Latilactobacillus sakei	food	113	5	118	0.0423728813559322	0.08741258741258738	FALSE	0.2
